ID,age,residence,universityCollege,academicYear,inpersonRemote,credits,fulltimeParttime,gender,,housingSatisfaction,shareResidence,liveWithOthersWho,preferLivingAloneOrNo,liveWithHowMany,monthlyRent,,rentConcern,universityCostsPerSemester,,financialFreedom,,financialControl,,rentStressOccurance,,rentImpactMentalHealth,,currentWellbeingRent,,,,,supportiveOrNo,,socialHelpStressReduction,,,prioritizedPayingRentYesNo,,prioritizationExtentImpact,,rentPayingConfidence,,lastingImpactRent,,,,,,,,wellbeingScore
80,20,Other,University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,"Family (parents, siblings, relatives)",I have no strong preference,2,I do not pay rent,Not concerned at all,10,"$4,001 - $5,000",Unsure,5,Moderate control,5,Rarely,7,Slight impact,7,High,7,45659,Once a week,5,"Somewhat, I have some supportive people",5,Slight reduction,3,"Receiving financial support from family,Relying on financial aid or scholarships",Very effective,No,No impact,10,Very confident,7,No impact,10,,No,,,72.5,43.33,85,66.25
81,Older than 23 years,Craighead-Sisson Village,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Man,Very High (Completely satisfied with no housing concerns.),10,Yes,Partner/Significant other,I prefer to live alone,2,"$1,251 - $1,500",Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Complete control,10,Never,10,No impact,10,Very High,10,0,Rarely or never,0,"No, I do not feel supported",0,No reduction in stress,0,Budgeting carefully,Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,I  am very appreciative that I have access to the university housing at sisson ,100,0,100,70
82,20,Other,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Non-binary,High (Mostly satisfied with minor problems or concerns.),7,Yes,"Family (parents, siblings, relatives)",I prefer to live alone,2,I do not pay rent,Not concerned at all,10,"$1,001 - $2,000","Somewhat, I have limited freedom",5,Little control,3,Never,10,No impact,10,Average,5,45720,A few times a month,3,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus",Slightly effective,Yes,Significant impact,3,Moderately confident,5,"Yes, moderately",3,,"Yes, from off-campus/private therapy or support services",Moderately effective,"I live with family, so I dont pay rent. However I have many large bills that require me to work several jobs that take up most of my time. Because of this I cant find housing outside of my family home. ",66.25,36.67,40,52.13
83,20,Lewis and Clark Village,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I have no strong preference,1,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Significant control,7,Rarely,7,No impact,10,Very High,10,45720,Several times a week,7,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs",Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,92.5,80,100,90.25
84,21,Lewis and Clark Village,University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,2,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Significant control,7,Sometimes,5,Slight impact,7,Very High,10,45720,Several times a week,7,"Somewhat, I have some supportive people",5,No reduction in stress,0,"Receiving financial support from family,Relying on financial aid or scholarships",Very effective,No,No impact,10,Completely confident,10,"Yes, slightly",7,Depletes my college funding that could go to other opportunities ,"Yes, from off-campus/private therapy or support services",Slightly effective,,76.25,40,85,67.13
85,21,Miller Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Non-binary,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I have no strong preference,2,"$751 - $1,000",Not concerned at all,10,"More than $10,000","Yes, I feel fully free to make spending decisions",10,Significant control,7,Never,10,No impact,10,Very High,10,45659,Several times a week,7,"Somewhat, I have some supportive people",5,Moderate reduction,5,Other (Please specify),Moderately effective,No,No impact,10,Completely confident,10,No impact,10,,"Yes, from on-campus counseling services",Very effective,,96.25,56.67,100,85.13
86,19,Rented house (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I have no strong preference,2,"$1,001 - $1,250",Not concerned at all,10,"$8,001 - $9,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,45720,Several times a week,7,"Yes, definitely",10,Moderate reduction,5,"Receiving financial support from family,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus",Very effective,No,No impact,10,Very confident,7,No impact,10,,"No, but I have considered it",Slightly effective,,71.25,73.33,85,74.63
87,20,Knowles Hall,University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Non-binary,High (Mostly satisfied with minor problems or concerns.),7,No,,I have no strong preference,0,I do not pay rent,Not concerned at all,10,"$1,001 - $2,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,45720,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Moderately effective,No,,10,Completely confident,10,No impact,10,,"No, but I have considered it",Slightly effective,,61.25,66.67,100,70.63
88,19,Jesse Hall,University of Montana,Freshman,In-person student (most classes on campus),6-Jan,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,1,"$1,001 - $1,250",Not concerned at all,10,"More than $10,000","Yes, I feel fully free to make spending decisions",10,Complete control,10,Never,10,Slight impact,7,Average,5,45659,Daily,10,"Somewhat, I have some supportive people",5,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships",Extremely effective,No,No impact,10,Completely confident,10,"Yes, slightly",7,Living in minimalist ways ,No,Not effective at all,,86.25,73.33,85,82.13
89,19,Pantzer Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,3,"$751 - $1,000",Slightly concerned,7,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Significant control,7,Never,10,No impact,10,High,7,45720,Several times a week,7,"Somewhat, I have some supportive people",5,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs",Very effective,No,No impact,10,Very confident,7,No impact,10,,No,,,85,63.33,85,78.5
90,19,Lewis and Clark Village,University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,2,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Complete control,10,Rarely,7,Slight impact,7,High,7,45783,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Very effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,85,90,100,89.5
91,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,2,$501 - $750,Slightly concerned,7,"$1 - $1,000","Somewhat, I have limited freedom",5,Significant control,7,Sometimes,5,No impact,10,Average,5,45720,Daily,10,"Yes, definitely",10,Significant reduction,7,"Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus",Very effective,No,No impact,10,Very confident,7,No impact,10,,No,,,70,90,85,79
92,Older than 23 years,Craighead-Sisson Village,Missoula College,Junior,In-person student (most classes on campus),12-Jul,Full-time student,Man,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,No,Other (Please specify),I have no strong preference,0,"$751 - $1,000",Not concerned at all,10,"$1 - $1,000","Somewhat, I have limited freedom",5,Significant control,7,Sometimes,5,Significant impact,3,Average,5,45659,A few times a month,3,"No, I do not feel supported",0,No reduction in stress,0,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus,Negotiating rent or seeking roommate changes to reduce costs,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds),Other (Please specify)",Extremely effective,Yes,Slight impact,7,Completely confident,10,"Yes, significantly",0,"Even though im.renting instead of owning a home I am paying for time it takes to get in my own home, theres many positive advantages to renting.","Yes, from both on-campus and off-campus resources",Slightly effective,If mental health providers wanted to share education experience with solving problems highlight solutions explain definitions of terminology I would like having a bigger conversation.,52.5,10,50,39.25
93,21,Lewis and Clark Village,University of Montana,Senior,In-person student (most classes on campus),12-Jul,Part-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,2,$501 - $750,Moderately concerned,5,"$3,001 - $4,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Moderate impact,5,Average,5,45659,Several times a week,7,"Yes, definitely",10,Slight reduction,3,"Budgeting carefully,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Very effective,No,No impact,10,Moderately confident,5,No impact,10,,"Yes, from off-campus/private therapy or support services",Very effective,,58.75,66.67,75,64.38
94,20,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,1,$501 - $750,Slightly concerned,7,"More than $10,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,45659,Several times a week,7,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Slightly effective,Yes,Slight impact,7,Very confident,7,"Yes, slightly",7,Loan repayment,No,,,60,50,70,59
95,18,Rented house (not University-affiliated),Missoula College,Sophomore,In-person student (most classes on campus),12-Jul,Part-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Partner/Significant other,I prefer to live with others,1,"$751 - $1,000",Moderately concerned,5,"$1,001 - $2,000","Somewhat, I have limited freedom",5,Moderate control,5,Often,3,Extreme impact,0,Average,5,0,Once a week,5,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Moderately effective,Yes,Significant impact,3,Slightly confident,3,"Yes, slightly",7,,"Yes, from on-campus counseling services",Slightly effective,,41.25,43.33,50,43.63
96,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,2,$501 - $750,Not concerned at all,10,"$3,001 - $4,000","Yes, I feel fully free to make spending decisions",10,Significant control,7,Never,10,No impact,10,Very High,10,45720,Daily,10,"Yes, definitely",10,Extreme reduction,10,Receiving financial support from family,Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,92.5,100,100,96.25
97,20,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),12-Jul,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,1,$501 - $750,Not concerned at all,10,"$8,001 - $9,000","Somewhat, I have limited freedom",5,Little control,3,Rarely,7,Slight impact,7,Average,5,45659,A few times a month,3,"Somewhat, I have some supportive people",5,No reduction in stress,0,"Budgeting carefully,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Slightly effective,Yes,Moderate impact,5,Very confident,7,No impact,10,,No,,,56.25,26.67,85,53.13
98,20,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,3,$501 - $750,Slightly concerned,7,"$7,001 - $8,000","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Slight impact,7,Average,5,45659,Once a week,5,"Somewhat, I have some supportive people",5,Slight reduction,3,"Receiving financial support from family,Relying on financial aid or scholarships",Very effective,No,No impact,10,Very confident,7,No impact,10,N/A,No,Not effective at all,N/A,66.25,43.33,85,63.13
99,21,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Partner/Significant other,I prefer to live with others,1,$501 - $750,Slightly concerned,7,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Significant control,7,Rarely,7,Slight impact,7,High,7,More than 6,Once a week,5,"Yes, definitely",10,Significant reduction,7,"Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Very effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,77.5,73.33,100,80.75
100,21,Other,University of Montana,Junior,In-person student (most classes on campus),More than 19,Full-time student,Man,Very High (Completely satisfied with no housing concerns.),10,Yes,"Family (parents, siblings, relatives)",I have no strong preference,3,I do not pay rent,Not concerned at all,10,"$4,001 - $5,000","Yes, I feel fully free to make spending decisions",10,Complete control,10,Never,10,No impact,10,High,7,45720,Several times a week,7,"Yes, definitely",10,No reduction in stress,0,"Receiving financial support from family,Relying on financial aid or scholarships",Very effective,No,No impact,10,Completely confident,10,"Yes, significantly",0,I will have more money for starting in a new place ,No,Not effective at all,No,96.25,56.67,50,75.13
101,21,Lewis and Clark Village,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$501 - $750,Very concerned,3,"$8,001 - $9,000","No, I feel very restricted",0,Little control,3,Often,3,Moderate impact,5,Average,5,45659,A few times a month,3,"Yes, definitely",10,Slight reduction,3,"Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Slightly effective,Yes,Moderate impact,5,Moderately confident,5,"Yes, moderately",3,I will have to get a full time job that at least makes me enough for a real apt versus the off-campus student housing which is significantly more expensive for someone who just graduated with entry level jobs ,No,,,38.75,53.33,40,43.38
102,22,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,No,,I prefer to live alone,0,"$751 - $1,000",Slightly concerned,7,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Often,3,Moderate impact,5,High,7,45720,Several times a week,7,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Slightly effective,Yes,Slight impact,7,Moderately confident,5,"Yes, slightly",7,I will continue to live there ,No,,,57.5,50,60,55.75
103,21,Rented house (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live alone,5,$501 - $750,Moderately concerned,5,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","No, I feel very restricted",0,Moderate control,5,Rarely,7,No impact,10,Average,5,45659,Once a week,5,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs",Very effective,Yes,Slight impact,7,Completely confident,10,"Yes, moderately",3,,No,,,52.5,50,65,54.25
104,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,1,$501 - $750,Slightly concerned,7,"$3,001 - $4,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,No impact,10,Average,5,45720,Several times a week,7,"Yes, definitely",10,Extreme reduction,10,"Receiving financial support from family,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,No impact,10,Completely confident,10,No impact,10,,No,Not effective at all,,62.5,90,100,78.25
105,21,Rented house (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,2,"$751 - $1,000",Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Complete control,10,Never,10,No impact,10,High,7,45659,Rarely or never,0,"Somewhat, I have some supportive people",5,Significant reduction,7,"Budgeting carefully,Receiving financial support from family",Very effective,No,No impact,10,Very confident,7,No impact,10,,No,Not effective at all,,86.25,40,85,72.13
106,Older than 23 years,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,Yes,Roommates,I prefer to live alone,4,"$1,251 - $1,500",Extremely concerned,0,"$1 - $1,000","No, I feel very restricted",0,No control,0,Always,0,Extreme impact,0,Very Low,0,45659,Rarely or never,0,"Somewhat, I have some supportive people",5,No reduction in stress,0,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Moderately effective,Yes,Extreme impact,0,Slightly confident,3,"Yes, slightly",7,maxed out credit cards will be hard to pay back,"No, but I have considered it",,I was homeless for about a month after the VA failed to pay me for a few months starting at the beginning of January,0,16.67,50,15
107,Older than 23 years,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,"$751 - $1,000",Slightly concerned,7,"$2,001 - $3,000","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Slight impact,7,High,7,45720,Daily,10,"Yes, definitely",10,Extreme reduction,10,"Budgeting carefully,Receiving financial support from family",Very effective,No,No impact,10,Very confident,7,"Yes, moderately",3,Will have less money saved to spend after school ,No,,,68.75,100,50,74.38
108,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,1,$501 - $750,Not concerned at all,10,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,No impact,10,Average,5,45720,Rarely or never,0,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships",Moderately effective,No,No impact,10,Very confident,7,No impact,10,,No,,,73.75,33.33,85,63.88
109,23,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,No,,I prefer to live alone,0,"$751 - $1,000",Slightly concerned,7,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,45720,Several times a week,7,"Yes, definitely",10,Significant reduction,7,"Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,,10,Completely confident,10,"Yes, moderately",3,I’ll be poor after graduation because my rent is a significant portion of my monthly income. ,No,,,63.75,80,65,68.88
110,22,Lewis and Clark Village,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,2,$501 - $750,Not concerned at all,10,"$1 - $1,000","Yes, I feel fully free to make spending decisions",10,Significant control,7,Rarely,7,No impact,10,High,7,45659,Daily,10,"Yes, definitely",10,Significant reduction,7,Receiving financial support from family,Extremely effective,No,No impact,10,Completely confident,10,"Yes, slightly",7,Not having to pay rent during undergrad has given me the chance to save money to pay rent while I’m in grad school,No,Not effective at all,,85,90,85,86.5
111,19,Knowles Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,I do not pay rent,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Significant control,7,Rarely,7,No impact,10,Average,5,45659,Several times a week,7,"Yes, definitely",10,Extreme reduction,10,"Receiving financial support from family,Relying on financial aid or scholarships,Seeking loans or other financial assistance",Very effective,No,No impact,10,Very confident,7,No impact,10,,No,,,76.25,90,85,82.13
112,19,Knowles Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I prefer to live with others,1,I do not pay rent,Not concerned at all,10,"$9,001 - $10,000","Yes, I feel fully free to make spending decisions",10,Significant control,7,Rarely,7,Slight impact,7,High,7,45720,Daily,10,"Yes, definitely",10,Significant reduction,7,"Receiving financial support from family,Relying on financial aid or scholarships,Seeking loans or other financial assistance",Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,85,90,100,89.5
113,20,Miller Hall,University of Montana,Sophomore,In-person student (most classes on campus),6-Jan,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,No,Partner/Significant other,I prefer to live alone,1,"$751 - $1,000",Slightly concerned,7,"$5,001 - $6,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Moderate impact,5,Average,5,45720,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Receiving financial support from family",Very effective,No,,10,Completely confident,10,No impact,10,,"Yes, from on-campus counseling services",Moderately effective,,50,90,100,72
114,21,Miller Hall,University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,1,I do not pay rent,Moderately concerned,5,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)",Unsure,5,No control,0,Sometimes,5,Moderate impact,5,Average,5,45720,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,Moderate impact,5,Moderately confident,5,No impact,10,,"Yes, from on-campus counseling services",Very effective,,41.25,66.67,75,55.63
115,22,Lewis and Clark Village,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,Roommates,I prefer to live with others,1,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Moderate control,5,Never,10,No impact,10,Very High,10,45783,A few times a month,3,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment)",Very effective,No,,10,Completely confident,10,No impact,10,,No,,,93.75,66.67,100,86.88
116,22,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I have no strong preference,3,$501 - $750,Moderately concerned,5,"$1 - $1,000","Yes, I feel fully free to make spending decisions",10,Moderate control,5,Never,10,No impact,10,High,7,More than 6,Daily,10,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Exploring cheaper housing options farther from campus",Moderately effective,Yes,,10,Completely confident,10,No impact,10,,No,,,75,83.33,100,82.5
117,21,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),12-Jul,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,1,"$751 - $1,000",Very concerned,3,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Little control,3,Often,3,Moderate impact,5,Average,5,45720,Once a week,5,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Slightly effective,Yes,Significant impact,3,Moderately confident,5,"Yes, moderately",3,"Due to rent costs, I have little savings to use for all the heavy costs associated with moving ","No, but I have considered it",,,42.5,43.33,40,42.25
118,22,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),6-Jan,Part-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,3,$501 - $750,Moderately concerned,5,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Moderate impact,5,Average,5,45720,A few times a month,3,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Working extra hours or multiple jobs",Moderately effective,Yes,Moderate impact,5,Moderately confident,5,No impact,10,,"Yes, from off-campus/private therapy or support services",Slightly effective,,47.5,36.67,75,49.75
119,20,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,"Family (parents, siblings, relatives)",I prefer to live with others,1,"$751 - $1,000",Moderately concerned,5,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Often,3,Slight impact,7,High,7,45783,Several times a week,7,"Yes, definitely",10,Slight reduction,3,"Budgeting carefully,Working extra hours or multiple jobs",Moderately effective,Yes,Slight impact,7,Very confident,7,No impact,10,,No,Not effective at all,,61.25,66.67,85,67.63
120,21,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,3,"$751 - $1,000",Very concerned,3,"$5,001 - $6,000","No, I feel very restricted",0,Little control,3,Always,0,Significant impact,3,Very Low,0,0,Daily,10,"No, I do not feel supported",0,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Slightly effective,Yes,Significant impact,3,Not confident at all,0,"Yes, moderately",3,"I can’t save my money for after graduation, which sets me behind financially and emotionally. ","No, but I have considered it",,Bring this data to our county commissioners and state representatives!!!,18.75,43.33,15,25.38
121,18,Duniway Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Man,No Opinion,5,Yes,Roommates,I prefer to live alone,1,"$1,501 - $1,750",Not concerned at all,10,"$1,001 - $2,000","No, I feel very restricted",0,Little control,3,Never,10,Slight impact,7,Low,3,45783,Daily,10,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus",Moderately effective,Yes,Moderate impact,5,Completely confident,10,"Yes, slightly",7,,No,,,53.75,83.33,85,68.88
